,c_bound_S,c_bound_T,c_bound_joint,c_bound_mcallester,c_bound_seeger,dS,dT,eS,eT,joint_bound,nb_per_attribute,nb_tree,prior,rS,rT,risk_bound,voter,zero_one_S,zero_one_T,max-iteration,mu
adult--bound-joint,0.4430054928330722,0.4572606508639892,0.4920111360814005,0.5326251203015467,0.5148716107968914,0.1725104913788599,0.1732961172793473,0.1117432166847069,0.1155978039684047,0.4923302448663454,10.0,100.0,0.5,0.1979984623741368,0.2022458626080784,0.423792044115327,1.0,0.1550958159273257,0.1630810092961487,,
adult--bound-risk,0.5396521828022911,0.5668930404949624,0.5940320629385842,0.6207526335868296,0.5997956760115879,0.083957605748722,0.0839172661684983,0.1485666705346675,0.1578678106584536,0.6618736596798729,10.0,100.0,0.5,0.1905454734090286,0.1998264437427028,0.4134432078309096,1.0,0.1903056826470393,0.199867197875166,,
adult--c-bound-joint,0.4423754958170057,0.4570900159153163,0.4915335730783474,0.5322302223176154,0.5143300832280504,0.1715318747884371,0.1725395184844919,0.1116106369915244,0.1155846682533586,0.4920761959364221,10.0,100.0,0.5,0.197376574385743,0.2018544274956046,0.4226112355913439,1.0,0.1563556793316093,0.1627490039840637,,
adult--c-bound-mcallester,0.4427968981125586,0.4568988210815466,0.4916252795613253,0.5321290185750471,0.5143644235174767,0.1718066397347342,0.1728653597757904,0.1117141753818879,0.1155176524635463,0.4920313834579365,10.0,100.0,0.5,0.1976174952492549,0.2019503323514415,0.4229548684059216,1.0,0.1560904449307075,0.1629482071713147,,
adult--c-bound-seeger,0.4424464061442368,0.4571102133820508,0.4915734461975446,0.532219905214447,0.5143005175498381,0.1711094100096109,0.172214225124215,0.1116465743617647,0.1156048141105182,0.4922222162942872,10.0,100.0,0.5,0.1972012793665702,0.2017119266726257,0.4222505354161481,1.0,0.1558915191300311,0.1632802124833997,,
adult--cb-boost,0.4418755596363717,0.4578500354962715,0.4946060568450228,0.5370210849148875,0.5179683613086902,0.1701686043323164,0.1711443742372047,0.1115290113087238,0.1158569956251301,0.4966889486620983,10.0,100.0,0.5,0.196613313474882,0.2014291827437325,0.4226450884392938,1.0,0.1564219879318347,0.1632802124833997,,
adult--mincq,0.3091511057328631,0.6024197549337711,0.9999944515953844,1.0,1.0,0.4954794814591547,0.4949251866701729,0.2127444697967384,0.2207754362652515,1.4115626897853,10.0,100.0,0.5,0.4604842105263158,0.468238029600338,1.2233563535813046,1.0,0.105,0.2035856573705179,,0.0790315789473684
credit--bound-joint,0.4224577189918654,0.4030947071085787,0.8271762497318809,0.9251676277639848,0.9020644053728007,0.2408302704479565,0.2373591400533864,0.1060145111430408,0.1013456816193809,0.8690151391936577,10.0,100.0,0.5,0.226429646367019,0.2200252516460742,0.7156404389892289,1.0,0.1341463414634146,0.1319018404907975,,
credit--bound-risk,0.4477352016219673,0.4627374167939628,0.8679199692776822,0.9099293408451876,0.8778577940910939,0.1266062831374392,0.140286890460846,0.1155954680895954,0.1190025742223737,1.074363976458926,10.0,100.0,0.5,0.178898609658315,0.1891460194527967,0.6506196640549805,1.0,0.1585365853658536,0.1503067484662576,,
credit--c-bound-joint,0.3954924314039623,0.4073298060854912,0.8160015346793064,0.9149893655833276,0.8841569918396005,0.2153228592397444,0.2191940804956606,0.0990047279787999,0.1019369316266911,0.8739929685714027,10.0,100.0,0.5,0.2066661575986721,0.2115339718745215,0.6828227561935007,1.0,0.1097560975609756,0.1288343558282208,,
